name,price,price_new,specs,warranty
"
      MacBook Air 11"" (2015) - QWERTY - English (US)
    ","
        $175.00
      ","
          $1,299.00
        ","
        Core i5 - 1.6 GHz - SSD 128 GB - RAM 4GB
      ","
      Warranty: 12 months
    "
"
      Dell Chromebook 11 3120 Celeron N2840 2.16 GHz 16GB SSD - 4GB
    ","
        $45.99
      ","
          $475.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MSI GF75 Thin 10SCSR-448 17.3-inch - Core i5-10300H - 8GB 512GB NVIDIA GeForce GTX 1650 QWERTY - English (US)
    ","
        $699.66
      ","
          $814.99
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2015) - QWERTY - English (US)
    ","
        $210.95
      ","
          $500.00
        ","
        Core i5 - 1.6 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2017) - QWERTY - English (US)
    ","
        $317.65
      ","
          $999.00
        ","
        Core i5 - 1.8 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 11"" (2015) - QWERTY - English (US)
    ","
        $175.00
      ","
          $1,299.00
        ","
        Core i5 - 1.6 GHz - SSD 128 GB - RAM 4GB
      ","
      Warranty: 12 months
    "
"
      Magic mouse 2 Wireless - Silver
    ","
        $49.99
      ","
          $99.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2017) - QWERTY - English (US)
    ","
        $384.48
      ","
          $899.00
        ","
        Core i5 - 1.8 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 18 months
    "
"
      Magic mouse Wireless - White
    ","
        $36.99
      ","
          $99.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2015) - QWERTY - English (US)
    ","
        $210.95
      ","
          $500.00
        ","
        Core i5 - 1.6 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      Dell Chromebook 11 3120 Celeron N2840 2.16 GHz 16GB SSD - 4GB
    ","
        $45.99
      ","
          $475.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2017) - QWERTY - English (US)
    ","
        $400.00
      ","
          $1,300.00
        ","
        Retina - Core i5 - 2.3 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2015) - QWERTY - English (US)
    ","
        $236.81
      ","
          $1,398.00
        ","
        Core i5 - 1.6 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2019) - QWERTY - English (US)
    ","
        $707.06
      ","
          $1,299.00
        ","
        Touch Bar - Retina - Core i5 - 1.4 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 16"" (2019) - QWERTY - English (US)
    ","
        $1,379.00
      ","
          $2,799.00
        ","
        Touch Bar - Retina - Core i9 - 2.3 GHz - SSD 1000 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2015) - QWERTY - English (US)
    ","
        $374.00
      ","
          $1,149.00
        ","
        Core i7 - 2.2 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      iMac 21.5-inch Retina (Mid-2017) Core i5 3.0GHz - HDD 1 TB - 8GB
    ","
        $390.43
      ","
          $1,300.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2012) - QWERTY - English (US)
    ","
        $180.92
      ","
          $1,199.00
        ","
        Core i5 - 2.5 GHz - HDD 512 GB - RAM 4GB
      ","
      Warranty: 12 months
    "
